TV,Radio,Social Media,Influencer_Macro,Influencer_Mega,Influencer_Micro,Influencer_Nano,Sales
16.0,6.57,2.91,0,1,0,0,54.73
13.0,9.24,2.41,0,1,0,0,46.68
41.0,15.89,2.91,0,1,0,0,150.18
83.0,30.02,6.92,0,1,0,0,298.25
15.0,8.44,1.41,0,0,1,0,56.59
29.0,9.61,1.03,0,1,0,0,105.89
55.0,24.89,4.27,0,0,1,0,198.68
31.0,17.36,2.29,0,0,0,1,108.73
76.0,24.65,7.13,1,0,0,0,270.19
13.0,0.43,2.23,0,1,0,0,48.28
62.0,24.35,5.15,0,0,0,1,224.96
42.0,15.81,3.19,0,1,0,0,145.54
64.0,20.24,3.92,0,0,1,0,229.63
54.07,22.35,3.03,0,1,0,0,276.17
34.0,0.23,2.37,0,0,0,1,121.34
36.0,3.9,0.06,0,0,0,1,123.53
60.0,22.35,0.94,0,1,0,0,212.76
25.0,9.91,1.85,0,0,1,0,89.82
100.0,36.12,3.67,1,0,0,0,353.8
92.0,40.74,4.64,0,0,0,1,329.35
46.0,12.7,3.88,1,0,0,0,162.19
78.0,35.57,2.83,1,0,0,0,276.4
37.0,2.83,4.56,0,0,1,0,128.48
99.0,37.26,6.89,0,0,0,1,349.86
75.0,20.35,1.23,0,0,1,0,272.25
54.0,27.81,4.06,0,0,0,1,192.46
54.07,34.11,4.62,0,0,0,1,342.91
27.0,7.28,2.18,0,0,1,0,96.75
21.0,9.28,3.06,0,1,0,0,76.99
40.0,13.05,1.97,0,0,0,1,139.29
67.0,24.14,5.57,0,1,0,0,234.85
90.0,29.02,6.43,0,0,1,0,323.03
12.0,3.57,3.56,0,0,0,1,40.79
81.0,27.34,5.26,0,0,1,0,290.78
43.0,16.35,2.81,0,1,0,0,150.63
47.0,17.38,1.91,0,1,0,0,161.79
43.0,18.23,4.08,0,0,0,1,155.6
75.0,23.63,6.2,0,1,0,0,263.02
79.0,23.51,2.19,1,0,0,0,281.58
65.0,24.56,3.42,1,0,0,0,231.67
43.0,12.84,2.59,1,0,0,0,148.71
82.0,27.65,5.61,1,0,0,0,294.95
68.0,21.64,3.22,0,0,1,0,242.82
98.0,37.57,8.53,0,1,0,0,351.77
26.0,10.6,0.68,1,0,0,0,91.92
10.0,6.15,1.59,1,0,0,0,32.57
54.07,34.86,7.78,0,1,0,0,318.97
32.0,0.63,2.68,0,0,1,0,115.26
29.0,8.85,0.04,1,0,0,0,101.87
32.0,11.52,2.57,0,1,0,0,111.9
29.0,14.43,0.46,1,0,0,0,104.35
91.0,40.11,7.24,0,1,0,0,326.38
83.0,34.28,8.7,0,0,0,1,300.73
72.0,23.92,3.37,0,1,0,0,255.16
47.0,24.17,2.09,0,0,1,0,161.72
